filename,filepath,emotion_code,emotion,intensity,statement,repeat,actor,gender
03-01-05-01-01-01-01.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-01-01-01.wav,05,angry,normal,01,01,1,male
03-01-05-01-01-02-01.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-01-02-01.wav,05,angry,normal,01,02,1,male
03-01-05-01-02-01-01.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-02-01-01.wav,05,angry,normal,02,01,1,male
03-01-05-01-02-02-01.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-02-02-01.wav,05,angry,normal,02,02,1,male
03-01-05-02-01-01-01.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-01-01-01.wav,05,angry,strong,01,01,1,male
03-01-05-02-01-02-01.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-01-02-01.wav,05,angry,strong,01,02,1,male
03-01-05-02-02-01-01.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-02-01-01.wav,05,angry,strong,02,01,1,male
03-01-05-02-02-02-01.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-02-02-01.wav,05,angry,strong,02,02,1,male
03-01-05-01-01-01-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-01-01-02.wav,05,angry,normal,01,01,2,female
03-01-05-01-01-02-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-01-02-02.wav,05,angry,normal,01,02,2,female
03-01-05-01-02-01-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-02-01-02.wav,05,angry,normal,02,01,2,female
03-01-05-01-02-02-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-02-02-02.wav,05,angry,normal,02,02,2,female
03-01-05-02-01-01-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-01-01-02.wav,05,angry,strong,01,01,2,female
03-01-05-02-01-02-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-01-02-02.wav,05,angry,strong,01,02,2,female
03-01-05-02-02-01-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-02-01-02.wav,05,angry,strong,02,01,2,female
03-01-05-02-02-02-02.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-02-02-02.wav,05,angry,strong,02,02,2,female
03-01-05-01-01-01-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-01-01-03.wav,05,angry,normal,01,01,3,male
03-01-05-01-01-02-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-01-02-03.wav,05,angry,normal,01,02,3,male
03-01-05-01-02-01-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-02-01-03.wav,05,angry,normal,02,01,3,male
03-01-05-01-02-02-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-01-02-02-03.wav,05,angry,normal,02,02,3,male
03-01-05-02-01-01-03.wav,/content/drive/MyDrive/Fall25/EE502/FinalProjects/Ch17/data/angry/03-01-05-02-01-01-03.wav,05,angry,strong,01,01,3,male
